sample	Type	Genus	Species	Pool	Lat	Lon	Depth	pct_sym_seqs
467	water	water	water	P300	-14.18244	-169.65937	1	0.194161307
468	water	water	water	P300	-14.18245	-169.6594	1	0.29427884
510	coral	Goniastrea	retiformis	P300	-14.18285	-169.65935	1	0.989337395
513	coral	Porites	annae	P300	-14.18278	-169.65936	0.5	0.991339492
518	coral	Goniastrea	retiformis	P300	-14.18236	-169.65906	1	0.929487179
521	coral	Porites	annae	P300	-14.18235	-169.65936	0.6	0.984498161
523	coral	Porites	annae	P300	-14.18223	-169.65916	0.3	0.986000431
528	coral	Porites	annae	P300	-14.18257	-169.65933	0.7	0.990610329
529	coral	Goniastrea	retiformis	P300	-14.18256	-169.65933	0.5	0.989891135
540	coral	Porites	annae	P400	-14.17826	-169.65445	0.5	0.97753064
543	coral	Goniastrea	retiformis	P400	-14.17853	-169.65434	1.1	0.954954955
548	coral	Porites	annae	P400	-14.17836	-169.65398	0.9	0.980456026
555	coral	Porites	annae	P400	-14.17886	-169.65422	1.6	0.989549403
563	coral	Goniastrea	retiformis	P400	-14.17916	-169.65388	1.1	0.901785714
592	coral	Acropora	austera	P300	-14.18271	-169.65953	0.5	0.959183673
597	coral	Acropora	austera	P300	-14.18288	-169.65948	1	0.936163939
604	coral	Acropora	austera	P300	-14.18242	-169.65906	1	0.952679193
606	coral	Acropora	austera	P300	-14.18232	-169.65909	0.7	1
615	coral	Acropora	austera	P300	-14.18286	-169.65961	1.1	0.905660377
623	coral	Acropora	austera	P400	-14.17896	-169.65422	1	0.966666667
624	coral	Acropora	austera	P400	-14.17891	-169.65427	1.8	0.869047619
626	coral	Acropora	austera	P400	-14.17831	-169.6545	0.6	0.855421687
632	coral	Acropora	pagoensis	P300	-14.18294	-169.65944	0.6	0.846153846
633	coral	Acropora	pagoensis	P300	-14.18238	-169.65932	1.1	0.93800813
640	coral	Acropora	pagoensis	P300	-14.1825	-169.65956	0.6	0.952207937
648	coral	Acropora	austera	P300	-14.18259	-169.65967	0.6	0.951437066
649	coral	Acropora	pagoensis	P300	-14.18264	-169.65967	1	0.985915493
653	coral	Acropora	pagoensis	P300	-14.18266	-169.65948	0.6	0.93844167
659	coral	Acropora	pagoensis	P300	-14.18287	-169.65965	0.9	0.963235294
663	coral	Acropora	pagoensis	P400	-14.17861	-169.65315	1.1	0.965163934
668	coral	Acropora	pagoensis	P400	-14.17894	-169.65375	1	0.980214541
672	coral	Acropora	pagoensis	P400	-14.17884	-169.65414	1.5	0.918367347
679	coral	Acropora	pagoensis	P400	-14.17836	-169.65446	0.4	0.935625457
683	coral	Acropora	pagoensis	P400	-14.17818	-169.6543	0.3	0.937671861
708	coral	Porites	mound	P400	-14.17903	-169.65382	0.3	0.908358209
729	coral	Psammacora	contigua	P400	-14.17771	-169.6539	0.8	0.987522282
735	coral	Psammacora	contigua	P400	-14.1778	-169.65392	0.7	0.911167513
740	coral	Psammacora	contigua	P400	-14.17811	-169.65396	0.6	0.989958923
747	coral	Porites	annae	P400	-14.17804	-169.65431	0.5	0.957780458
749	coral	Psammacora	contigua	P400	-14.17813	-169.65437	0.7	0.989094875
758	coral	Psammacora	contigua	P400	-14.1785	-169.65436	1.5	0.988461538
767	coral	Acropora	austera	P400	-14.17907	-169.65382	1.8	0.927966102
768	coral	Acropora	austera	P400	-14.17918	-169.65375	1.5	0.973921765
772	coral	Psammacora	contigua	P300	-14.18237	-169.65939	0.7	0.951219512
778	coral	Psammacora	contigua	P300	-14.18254	-169.6591	0.8	0.898671096
796	coral	Psammacora	contigua	P300	-14.18288	-169.6595	0.9	0.852331606
797	coral	Psammacora	contigua	P300	-14.18285	-169.65952	0.5	0.948207171
798	coral	Psammacora	contigua	P300	-14.1828	-169.65962	0.5	0.986332148
811	coral	Porites	annae	P300	-14.18248	-169.65953	0.9	0.98792583
